SMILES,CP
*CC(*)(C)C(=O)Oc1ccccc1,1310.03
*CC(*)(C)C(=O)Oc1ccccc1C,1367.72
*CC(*)(C)C(=O)OCc1ccccc1,1349.61
*CC(*)(C)C(=O)OCCc1ccccc1,1383.36
*CC(*)(C)C(=O)Oc1ccc2ccccc2c1,1245.33
*CC(*)(C)C(=O)OCCF,1543.68
*CC(*)(C)C(=O)OCCCl,1334.35
*CC(*)(C)C(=O)OCCBr,1292.01
*CC(*)(C)C(=O)OCC(F)(F)F,1489.69
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,1492.75
*CC(*)(C)C(=O)OC(C)C(F)(F)F,1516.01
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,1462.07
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,1451.06
*CC(*)(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1448.61
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,1341.74
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1455.35
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1001.68
*CC(*)(C)C(=O)OCc1ccccc1Cl,1224.36
